,lamda,beta,p,acc_inG,nmi_inG,acc_inL,nmi_inL,acc_coI,nmi_coI,acc_sy_C,nmi_sy_C,acc_hyT,nmi_hyT
136,100,5,6,0.4,0.463727326,0.351515152,0.440192835,0.454545455,0.495544617,0.393939394,0.462119628,0.351515152,0.40757393
107,50,1,3,0.484848485,0.553301761,0.460606061,0.532713923,0.448484848,0.512883771,0.478787879,0.537228991,0.496969697,0.549802028
117,50,50,6,0.418181818,0.527138367,0.442424242,0.516200985,0.442424242,0.537512636,0.460606061,0.536056914,0.484848485,0.506704086
112,50,0.1,6,0.527272727,0.570669076,0.472727273,0.526529177,0.436363636,0.52468091,0.490909091,0.5474505,0.460606061,0.54930037
111,50,100,3,0.454545455,0.516587612,0.436363636,0.510993329,0.436363636,0.517685766,0.424242424,0.525191525,0.460606061,0.511632674
141,100,0.5,9,0.357575758,0.432669527,0.406060606,0.442856157,0.424242424,0.477265075,0.381818182,0.454623365,0.375757576,0.470380039
131,100,50,3,0.357575758,0.447101454,0.363636364,0.435000121,0.424242424,0.456198087,0.351515152,0.414016567,0.381818182,0.437407648
114,50,1,6,0.545454545,0.580090053,0.533333333,0.573993899,0.418181818,0.505278263,0.527272727,0.56577693,0.454545455,0.530432913
139,100,100,6,0.357575758,0.421067781,0.381818182,0.459708454,0.418181818,0.484318567,0.363636364,0.433803386,0.345454545,0.414349807
122,50,5,9,0.466666667,0.524865388,0.490909091,0.557135634,0.412121212,0.477280332,0.466666667,0.514247374,0.424242424,0.481308
108,50,5,3,0.454545455,0.508082981,0.448484848,0.505407535,0.412121212,0.514030542,0.472727273,0.540069431,0.442424242,0.53794615
144,100,10,9,0.357575758,0.427144638,0.381818182,0.447576292,0.406060606,0.462723076,0.381818182,0.468017187,0.357575758,0.449524226
124,50,50,9,0.424242424,0.509668428,0.460606061,0.538827772,0.4,0.533907173,0.478787879,0.546115944,0.466666667,0.538166361
132,100,100,3,0.424242424,0.475552951,0.351515152,0.437400937,0.387878788,0.479960113,0.4,0.4857588,0.345454545,0.433717764
140,100,0.1,9,0.406060606,0.457467931,0.351515152,0.421437919,0.387878788,0.452181613,0.351515152,0.412914205,0.381818182,0.451871089
138,100,50,6,0.381818182,0.492623192,0.406060606,0.434734277,0.387878788,0.428909249,0.327272727,0.439878698,0.375757576,0.43250846
135,100,1,6,0.351515152,0.446924068,0.351515152,0.441793305,0.387878788,0.45991841,0.339393939,0.421298672,0.357575758,0.415773381
127,100,0.5,3,0.333333333,0.41714761,0.357575758,0.42846514,0.375757576,0.449152102,0.393939394,0.457011363,0.375757576,0.42990706
143,100,5,9,0.375757576,0.443129018,0.315151515,0.376488868,0.36969697,0.423683042,0.393939394,0.479136408,0.43030303,0.47299232
130,100,10,3,0.357575758,0.424634283,0.375757576,0.450137082,0.36969697,0.414125077,0.442424242,0.489116335,0.387878788,0.459068131
142,100,1,9,0.339393939,0.43506369,0.327272727,0.42063225,0.363636364,0.404082503,0.43030303,0.484104038,0.363636364,0.452296143
134,100,0.5,6,0.442424242,0.493353432,0.393939394,0.447530523,0.357575758,0.41088697,0.381818182,0.460537495,0.375757576,0.44244072
145,100,50,9,0.363636364,0.438780021,0.43030303,0.464629306,0.351515152,0.440135304,0.333333333,0.441243312,0.381818182,0.422609437
133,100,0.1,6,0.412121212,0.461607816,0.363636364,0.478917437,0.345454545,0.427280059,0.412121212,0.484068153,0.345454545,0.434949495
126,100,0.1,3,0.4,0.444979661,0.363636364,0.418383063,0.345454545,0.421649024,0.315151515,0.433270922,0.36969697,0.414303723
146,100,100,9,0.339393939,0.423267772,0.375757576,0.450902259,0.345454545,0.44404844,0.36969697,0.430899103,0.357575758,0.406663755
137,100,10,6,0.406060606,0.460653522,0.357575758,0.422836327,0.333333333,0.43602047,0.387878788,0.437014093,0.418181818,0.477566306
129,100,5,3,0.418181818,0.445235211,0.36969697,0.458778134,0.327272727,0.384365143,0.333333333,0.44279021,0.387878788,0.443033925
128,100,1,3,0.412121212,0.499222144,0.309090909,0.405368689,0.327272727,0.442923689,0.406060606,0.456290072,0.351515152,0.436334864
